PSA_1,PSA_2,Attribute,Category
TOI,MED,Brand,Family Planning
TOI,MED,Type,Family Planning
TOI,MED,Pack Qty,Family Planning
TOI,MED,Size,Family Planning
HOU,HEA,Brand,Fans & Tower Fans
HOU,HEA,Type,Fans & Tower Fans
HOU,HEA,Size,Fans & Tower Fans
HOU,HEA,Power,Fans & Tower Fans
HOU,HEA,Model Number,Fans & Tower Fans
PET,WIL,Brand,Fat Balls & Feeders
PET,WIL,Type,Fat Balls & Feeders
PET,WIL,Pack Qty,Fat Balls & Feeders
PET,WIL,Size,Fat Balls & Feeders
HOM,STO,Brand,Faux Leather Collection
HOM,STO,Type,Faux Leather Collection
HOM,STO,Colour,Faux Leather Collection
HOM,STO,Pack Qty,Faux Leather Collection
HOM,STO,Size,Faux Leather Collection
TOI,FOO,Brand,Feeding and Weaning
TOI,FOO,Type,Feeding and Weaning
TOI,FOO,Pack Qty,Feeding and Weaning
TOI,FOO,Washable,Feeding and Weaning
TOI,FOO,Size,Feeding and Weaning
TOI,FOO,Age,Feeding and Weaning
TOI,ELE,Brand,Female Hair Removal
TOI,ELE,Type,Female Hair Removal
TOI,ELE,Colour,Female Hair Removal
TOI,ELE,Power,Female Hair Removal
TOI,ELE,Pack Qty,Female Hair Removal
TOI,ELE,Size,Female Hair Removal
TOI,SAN,Brand,Feminine Hygene
TOI,SAN,Type,Feminine Hygene
TOI,SAN,Colour,Feminine Hygene
TOI,SAN,Pack Qty,Feminine Hygene
TOI,SAN,Size,Feminine Hygene
DIY,BUL,Brand,Filament Bulbs
DIY,BUL,Type,Filament Bulbs
DIY,BUL,Power,Filament Bulbs
DIY,BUL,Pack Qty,Filament Bulbs
DIY,BUL,Size,Filament Bulbs
SBK,OFF,Brand,Filing
SBK,OFF,Type,Filing
SBK,OFF,Colour,Filing
SBK,OFF,Size,Filing
SBK,OFF,Assembly,Filing
SBK,OFF,Material,Filing
KIT,MSP,Brand,Filing Cabinets
KIT,MSP,Type,Filing Cabinets
KIT,MSP,Colour,Filing Cabinets
KIT,MSP,Size,Filing Cabinets
KIT,MSP,Assembly,Filing Cabinets
KIT,MSP,Material,Filing Cabinets
DEC,FIL,Brand,Fillers & Sealants
DEC,FIL,Type,Fillers & Sealants
DEC,FIL,Pack Qty,Fillers & Sealants
DEC,FIL,Size,Fillers & Sealants
SBK,PAR,Brand,Finding Dory Range
SBK,PAR,Type,Finding Dory Range
SBK,PAR,Colour,Finding Dory Range
SBK,PAR,Power,Finding Dory Range
SBK,PAR,Pack Qty,Finding Dory Range
SBK,PAR,Age,Finding Dory Range
DIS,BIN,Brand,Fireplace Accessories
DIS,BIN,Type,Fireplace Accessories
DIS,BIN,Colour,Fireplace Accessories
DIS,BIN,Pack Qty,Fireplace Accessories
DIS,BIN,Size,Fireplace Accessories
TOI,MED,Brand,First Aid
TOI,MED,Type,First Aid
