"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Assembly","DQ Score"
"436870","Wilko Bulb Cage Pendant Copper Effect","Wilko","Vintage Pendant",NA,NA,"1","Pendant 19.5 x 29",NA,0.93
"436871","Wilko Small Industrial Glass Pendant Antique Brass","Wilko","Vintage Ceiling Lighting",NA,"25w","1","Pendant 14 x 25","No",0.95
"436872","Wilko Suspension Lighting Kit Copper Effect","Wilko","Vintage Ceiling Lighting",NA,"60w","1","Suspension Kit 10 x 85","No",0.95
"436873","Wilko Suspension Lighting Kit Chrome Finish","Wilko","Vintage Ceiling Lighting",NA,"60w","1","Suspension Kit 10 x 85","No",0.95
"436874","Wilko Suspension Lighting Kit Brass Effect","Wilko","Vintage Ceiling Lighting",NA,"60w","1","Suspension Kit 10 x 85","No",0.95
"436965","Wilko Laser Cut Shade Grey","Wilko","Light Shades","Grey",NA,"1",NA,NA,0.93
"436970","Wilko Angle Task Lamp Chrome Effect","Wilko","Desk Lamps","Silver",NA,"1",NA,"No",0.9
"436971","Wilko Angle Task Lamp Red","Wilko","Desk Lamps","Red",NA,"1",NA,"No",0.9
"436972","Wilko LED Task Lamp Chrome","Wilko","Desk Lamps","Silver",NA,"1",NA,"No",0.9
"436974","Wilko Designo Lamp Grey","Wilko","Desk Lamps","Grey",NA,"1",NA,"No",0.9
"437026","Wilko Sienna Lamp Silver Effect","Wilko","Table Lamps",NA,"40w","1","Table Lamp 18 x 32 x 40","No",0.95
"437111","Wilko Morrocan Sphere Pendant Bronze","Wilko","Pendants",NA,NA,"1",NA,NA,0.86
"441905","Wilko Beaded Global Pendant Plated Finish","Wilko","Pendants",NA,NA,"1",NA,NA,0.86
"441906","Wilko Global Table Lamp Plated Finish","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"455249","Wilko Light Shade Velvet Mauve","Wilko","Light Shades",NA,NA,"1","Dia: 30cm x H: 20cm",NA,0.93
"455250","Wilko Light Shade Velvet Teal","Wilko","Light Shades",NA,NA,"1","Dia: 30cm x H: 20cm",NA,0.93
"455251","Wilko Light Shade Velvet Grey","Wilko","Light Shades",NA,NA,"1","Dia: 30cm x H: 20cm",NA,0.93
"455252","Wilko Outdoor Light Dual Illuminator PIR","Wilko","Security Lighting",NA,"2 x 35w","1","W: 7cm x Depth: 11cm x H: 21cm",NA,0.941666666666667
"455253","Wilko Outdoor Light Chimney Wall","Wilko","Security Lighting",NA,"60w","1","W: 17cm x Depth: 19cm x H: 31cm",NA,0.941666666666667
"455254","Wilko Outdoor Light 4 Sided Lantern","Wilko","Security Lighting",NA,"60w","1","W: 15cm x Depth: 18.5cm x H: 35cm",NA,0.941666666666667
"455255","Wilko Light Shade Charcoal Taper Small","Wilko","Light Shades",NA,NA,"1","Dia: 22cm x Dia 16.5cm x H: 17cm",NA,0.93
"455256","Wilko Light Shade Charcoal Taper Large","Wilko","Light Shades",NA,NA,"1","Dia: 29cm x Dia 23cm x H: 19.5cm",NA,0.93
"455257","Wilko Light Shade 3 Tier Charcoal","Wilko","Light Shades",NA,NA,"1","Dia: 35cm x H: 15cm",NA,0.93
"455259","Wilko Shade Black with Gold Lining","Wilko","Light Shades",NA,NA,"1","Dia: 30cm x H: 20cm",NA,0.93
"455260","Wilko Outdoor Oblong Wall Light","Wilko","Security Lighting",NA,"60w","1","W: 15cm x Depth: 10cm x H: 28cm",NA,0.941666666666667
"455262","Wilko Lamp Marble Effect Small","Wilko","Table Lamps",NA,"40W","1","Dia: 20cm x H: 30.5cm","No",0.95
"455263","Wilko Lamp Ceramic Cut Out Silver","Wilko","Table Lamps",NA,"40W","1","Dia: 25cm x H: 0.95cm","No",0.95
"456307","Wilko Vintage Pendant Satin Brass","Wilko","Vintage Pendant",NA,NA,"1","30 x 30 x 16cm",NA,0.93
"456308","Wilko Non Elec Pendant Smoked","Wilko","Pendants",NA,NA,"1",NA,NA,0.86
"456309","Wilko Shade Satin Brass Laser Cut Metal","Wilko","Pendants",NA,NA,"1",NA,NA,0.86
"456310","Wilko Pendant Clear Beehive","Wilko","Pendants",NA,NA,"1",NA,NA,0.86
"456312","Wilko Pendant Pink Beehive","Wilko","Pendants",NA,NA,"1",NA,NA,0.86
"456313","Wilko Pendant Grey Beehive","Wilko","Pendants",NA,NA,"1",NA,NA,0.86
"456314","Wilko Lamp Silver Mirror","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"456315","Wilko Desk Lamp Blue","Wilko","Desk Lamps",NA,NA,"1",NA,"No",0.85
"456316","Wilko Angle Task Lamp Copper","Wilko","Desk Lamps",NA,NA,"1",NA,"No",0.85
"456317","Wilko Table Lamp Industrial","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"456318","Wilko Table Lamp Marble","Wilko","Table Lamps",NA,NA,"1","30 x 30 x 48cm","No",0.9
"456319","Wilko Lamp Ceramic White","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"456320","Wilko Lamp Small Glass Champagne","Wilko","Table Lamps",NA,NA,"1","18 x 28 x 37cm","No",0.9
"456321","Wilko Lamp Small Glass Smoke","Wilko","Table Lamps",NA,NA,"1","28 x 28 x 37cm","No",0.9
"456322","Wilko Lamp Textured Carved Grey","Wilko","Table Lamps",NA,NA,"1","30 x 30 x 49cm","No",0.9
"456442","Wilko Light Shade Grey Glitter Small","Wilko","Light Shades",NA,NA,"1","Dia: 30cm x H: 20cm",NA,0.93
"456443","Wilko Desk Lamp Designo White","Wilko","Desk Lamps",NA,NA,"1",NA,"No",0.85
"456890","Wilko Paper Textured Shade","Wilko","Light Shades",NA,NA,"1","21.5 x 7.5 x 21.5cm",NA,0.93
"119704","Wilko Functional Coolie Hard Shade Cream 7.5in","Wilko Functional","Light Shades","Cream",NA,NA,"7.5in",NA,0.93
"119811","Wilko Functional Coolie Hard Shade Cream 10in","Wilko Functional","Light Shades","Cream",NA,NA,"25cm",NA,0.93
"119818","Wilko Functional Coolie Hard Shade Cream 12in","Wilko Functional","Light Shades","Cream",NA,NA,"30cm",NA,0.93
"119821","Wilko Functional Coolie Hard Shade Cream 14in","Wilko Functional","Light Shades","Cream",NA,NA,"14in",NA,0.93
"436839","Wilko Paper Floor Lamp","Wilko Functional","Floor Lamps",NA,NA,"1",NA,"No",0.8
