"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","Capacity","Power","Model Number","Washable","Assembly","DQ Score"
"HOU","MOP","454142","Wilko Stiff Bassine Wooden Handbrush","Wilko","Dustpan and Brushes",NA,"1",NA,"Rubberwood, Bassine",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454143","Wilko Stiff Scrubbing Brush","Wilko","Dustpan and Brushes","Brown","1",NA,"Rubberwood, Bassine",NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","454147","Wilko Dustpan and Brush Set White","Wilko","Dustpan and Brushes",NA,"1",NA,"Plastic",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454148","Wilko Dustpan and Brush Set Teal","Wilko","Dustpan and Brushes",NA,"1",NA,"Plastic",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454149","Wilko String Mop with Handle White","Wilko","Mops",NA,"1",NA,"Plastic coated steel",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454150","Wilko String Mop with Handle Teal","Wilko","Mops",NA,"1",NA,"Plastic Coated Steel, PP",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454151","Wilko String Mop Refill","Wilko","Mop Heads and Refills",NA,"1",NA,"Plastic",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454152","Wilko Viscose Mop with Handle White","Wilko","Mops",NA,"1",NA,"Viscose, Plastic coated Steel, Polypropylene",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454153","Wilko Viscose Mop with Handle Teal","Wilko","Mops",NA,"1",NA,"Viscose, Plastic coated Steel, Polypropylene",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","454154","Wilko Viscose Mop Refill","Wilko","Mop Heads and Refills",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOU","MOP","454155","Wilko Mop Bucket with Wringer White","Wilko","Buckets",NA,"1",NA,"Polypropylene",NA,NA,NA,NA,NA,0.883333333333333
