"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","DQ Score"
"HOM","BED","326865","Wilko Best Valance Double Cream","Wilko Best","Double","White",NA,"100% Cotton",NA,"Washable",NA,NA,NA,0.95
"HOM","BED","326866","Wilko Best Oxford Pillowcase Cream","Wilko Best","75x50cm","Cream","1","100% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","326381","Wilko Functional Fitted Sheet Single","Wilko Functional","Single","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","326382","Wilko Functional Fitted Sheet Double","Wilko Functional","Double","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","326383","Wilko Functional Fitted Sheet King Size","Wilko Functional","Kingsize","White","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BED","326384","Wilko Functional Housewife Pillowcases Cream 2pk","Wilko Functional","75x50cm","White","2pk","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,1
"HOM","BLI","446034","Faux Wood Venetian Blind Oak60cm wide x 160cm drop","Global","Width 60cm x Drop 160cm",NA,NA,"PVC and Aluminium",NA,"Wipe Clean Only",NA,NA,NA,0.85
"HOM","BLI","446035","Faux Wood Venetian Blind Oak90cm wide x 160cm drop","Global","Width 90cm x Drop 160cm",NA,NA,"PVC and Aluminium",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446044","Faux Wood Venetian Blind White60cm wide x 160cm drop","Global","60x160cm - 50mm PVC Slat 3mm thick",NA,NA,"PVC and Aluminium",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446045","Faux Wood Venetian Blind White90cm wide x 160cm drop","Global","Width 90cm x Drop 160cm",NA,NA,"PVC and Aluminium",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446046","Faux Wood Venetian Blind White120cm wide x 160cm drop","Global","Width 120cm x Drop 160cm",NA,NA,"PVC and Aluminium",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446047","Faux Wood Venetian Blind White150cm wide x 160cm drop","Global","Width 150cm x Drop 160cm",NA,NA,"PVC and Aluminium",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446048","Faux Wood Venetian Blind White180cm wide x 160cm drop","Global","Width 180cm x Drop 160cm",NA,NA,"PVC and Aluminium",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446123","Square Eyelet Roller Blind Aubergine60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446124","Square Eyelet Roller Blind Aubergine90 wide x 165cm drop","Global","Width 90cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446125","Square Eyelet Roller Blind Aubergine120 wide x 165cm drop","Global","Width 120cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446126","Square Eyelet Roller Blind Aubergine150 wide x 165cm drop","Global","Width 150cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446127","Square Eyelet Roller Blind Aubergine180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446128","Square Eyelet Roller Blind Aubergine210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446129","Square Eyelet Roller Blind Black60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446131","Square Eyelet Roller Blind Black120 wide x 165cm drop","Global","Width 120cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446132","Square Eyelet Roller Blind Black150 wide x 165cm drop","Global","Width 150cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446133","Square Eyelet Roller Blind Black180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446134","Square Eyelet Blind Black 210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446136","Square Eyelet Blind Blue 90 wide x 165cm drop","Global","Width 90cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446137","Square Eyelet Blind Blue 120 wide x 165cm drop","Global","Width 120cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446138","Square Eyelet Blind Blue 150 wide x 165cm drop","Global","Width 150cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446139","Square Eyelet Blind Blue 180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BLI","446140","Square Eyelet Blind Blue 210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446141","Square Eyelet Blind Coffere 60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446142","Square Eyelet Blind Coffee 90 wide x 165cm drop","Global","Width 90cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446143","Square Eyelet Blind Coffee 120 wide x 165cm drop","Global","Width 120cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446144","Square Eyelet Blind Coffee 150 wide x 165cm drop","Global","Width 150cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446145","Square Eyelet Blind Coffee 180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446146","Square Eyelet Blind Coffee 210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
"HOM","BLI","446147","Square Eyelet Blind Cream 60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,NA,"100% Polyester",NA,NA,NA,NA,NA,0.8
