"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Age","Model Number","DQ Score"
"TOI","COL","347447","Collection Powders 2 Medium 9g","Collection 2000","15g","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347448","Collection Bronze Glow 1 Sunkissed 19g","Collection 2000","19g","Metal","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347450","Collection Glow- Shimmering 2 Medium 15g","Collection 2000","15g","Cream","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347451","Collection Glow Matt 1 Terracotta 15g","Collection 2000","15g","Metal","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","347453","Collection Bronze Glow Mosaic 2 15g","Collection 2000","15g","Metal","1",NA,NA,NA,NA,NA,NA,0.81875
"TOI","COL","352152","Collection 2000 Embossed Blush Shocking","Collection 2000",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.78125
"TOI","COL","352153","Collection Blush Bashful","Collection 2000",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.73125
"TOI","COL","352154","Collection 2000 Embossed Blush Cheeky","Collection 2000",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.78125
"TOI","COL","352155","Collection Blush Trouble","Collection 2000",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.73125
"TOI","COL","352156","Collection Eyebrow Kit Blonde","Collection 2000","1g","Multi","1",NA,NA,NA,NA,NA,NA,0.76875
