"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Model Number","DQ Score"
"HOM","BAT","327818","Wilko Mosaic Glass Shelf Silver","Wilko","Single","Silver",NA,NA,"No",NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327819","Wilko Mosaic Towel Rail Silver","Wilko","Single","Silver",NA,NA,"No",NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327820","Wilko Mosaic Toilet Roll Holder Silver","Wilko","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","327821","Wilko Mosaic Robe Hook Silver","Wilko","Single","Silver",NA,NA,"No",NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327822","Wilko Mosaic Towel Ring Silver","Wilko","Single","Silver",NA,NA,"No",NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327823","Wilko Mosaic Glass and Holder Silver","Wilko","Single","Silver",NA,NA,"No",NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","337343","Croydex Slow Close Antibacterial Toilet Seat White","Wilko",NA,"White","1",NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"HOM","BAT","341652","Wilko Dome Pedal Bin Black Small","Wilko",NA,"Black","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","341653","Wilko Toilet Brush Holder Black","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","341655","Wilko Bath Mat Purple Chevron 50 x 70cm","Wilko","50x70cm","Purple",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","341656","Wilko Bath Mat Black Chevron 50 x 70cm","Wilko","50x70cm","Black",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","341696","Wilko Toilet Brush Holder Silver Mosaic","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","341697","Wilko Light Pull Silver Mosaic","Wilko",NA,"Silver","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","341702","Wilko Woven Design Caddy Aqua Small","Wilko","Small","Green",NA,NA,NA,NA,NA,NA,NA,NA,0.85
"HOM","BAT","341738","Wilko Rope Mirror","Wilko","29cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","342246","Wilko Stripe Laundry Bag Beige","Wilko",NA,"Brown",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","342263","Wilko 4 Drawer Unit Beige Stripe","Wilko","4 Drawer","Brown","1",NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","342264","Wilko 4 Drawer Unit Blue Stripe","Wilko","4 Drawer","Blue","1",NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","342322","Wilko Laundry Bin Beige Stripe","Wilko",NA,"Brown",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","343562","Wilko Bath and Shower Mixer Set","Wilko","64 cm x 13 cm x 12.5 cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","407386","Wilko Glitter Mirror 40 x 50cm","Wilko","40 x 50cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","407423","Wilko Lights and Darks Laundry Bin","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","BAT","407441","Wilko Retro Bin Grey","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","407442","Wilko Retro Toilet Brush Grey","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","407450","Wilko Palm Tree Shower Curtain","Wilko","180cm x180cm",NA,NA,NA,NA,NA,NA,NA,"Painted Paper",NA,0.93
"HOM","BAT","420323","Wilko 3 Function Shower Set","Wilko","68.4 cm x 13 cm x 12.5 cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","421112","Wilko Dome Pedal Bin Small Aqua","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","421113","Wilko Toilet Brush Holder Aqua","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","423297","Wilko Aqua Soap Dispenser","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72
"HOM","BAT","423320","Wilko 3 Drawer Medium Tower Unit","Wilko","27cm x 19cm x 47.5cm",NA,"1","POLYPROPYLENE",NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","423321","Wilko Swing Bin 12L","Wilko","17.5cm x 24cm x 36cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","423847","Wilko Dome Pedal Bin Small Purple","Wilko","16.8 x H28.6cm",NA,"1",NA,NA,NA,NA,"3 litre",NA,NA,0.941666666666667
"HOM","BAT","423848","Wilko Toilet Brush Holder Purple","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","425737","Wilko Words Toilet Seat","Wilko","45.5cm x 36.6cm x 5.2cm",NA,"1","Molded Wood and Zinc Alloy",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","425738","Wilko Groove Toilet Seat Black","Wilko","45.5cm x 36.6cm x 5.2cm",NA,"1","Molded Wood and Zinc Alloy",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","425739","Wilko Toilet Seat Matt Aqua","Wilko","45.5cm x 36.6cm x 5.2cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
