"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Coverage","Model Number","DQ Score"
"DEC","WAL","449751","Wilko Wallpaper Jackson Stripe Duck Egg","Wilko","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","449752","Wilko Wallpaper Jackson Stripe Plum","Wilko","10m x 0.52m","Purple","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","449753","Wilko Wallpaper Damask Silver","Wilko","10m x 0.52m","Silver","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","449754","Wilko Wallpaper Damask Gold","Wilko","10m x 0.52m","Gold","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","449755","Wilko Wallpaper Damask White","Wilko","10m x 0.52m","White","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","450112","Wilko Wallpaper Cherry Blossom Duck Egg","Wilko","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","344144","Wilko Wallpaper Best Damask Silver","Wilko Best","10m x 0.52m","Silver","1",NA,"No",NA,NA,"5.2m²",NA,0.6
"DEC","WAL","344145","Wilko Wallpaper Best Floral Black","Wilko Best","10.05mx0.53m","Black","1",NA,"No",NA,NA,NA,NA,0.6
"DEC","WAL","344880","Wilko Wallpaper Best Plain Gold","Wilko Best","10m x 0.52m","Gold","1",NA,"No",NA,NA,"5.2m²",NA,0.6
"DEC","WAL","344881","Wilko Wallpaper Best Plain Silver","Wilko Best","10m x 0.52m","Silver","1",NA,"No",NA,NA,"5.2m²",NA,0.6
"DEC","WAL","413889","Wilko Best Wallpaper Damask Silver and White","Wilko Best","10m x 0.52m","Silver","1","Paper","No",NA,NA,"5.2m²","33-025",0.65
"DEC","WAL","413891","Wilko Best Wallpaper Stripe Silver And White","Wilko Best","10m x 0.52m","Silver","1","Paper","No",NA,NA,"5.2m²","33-026",0.65
"DEC","WAL","138819","Wilko Functional Lining Paper Wallcovering","Wilko Functional","10m x 0.52m","White","1",NA,NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","246876","Wilko Wallpaper Embossed White 16276","Wilko Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","WAL","246877","Wilko Wallpaper Embossed White 16277","Wilko Functional","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.85
"DEC","WAL","344140","Wilko Best Lining Paper","Wilko Functional","10m x 0.52m","White",NA,NA,NA,NA,NA,"5.2m²",NA,0.85
