"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Age","DQ Score"
"SBK","DES","417421","Maped Ice Fun Pen Purple","Maped","15.0CM","1.1CM","1.3CM","Gel Pens","17.6 x 6 x 1.9cm","Purple","1",NA,NA,1
"SBK","DES","417422","Maped Ice Fun Pen Apple Green","Maped","15.0CM","1.1CM","1.3CM","Gel Pens","17.6 x 6 x 1.9cm","Green","1",NA,NA,1
"SBK","DES","434300","Maped Ice Fun Pen Black","Maped","15.0CM","1.1CM","1.3CM","Ballpoint Pens","17.6 x 6 x 1.9cm","Black","1",NA,NA,1
"SBK","DES","417404","Oxford Small Geometry Set","Oxford","23.0CM","10.0CM",".4CM","Geometry Sets","4 x 100 x 230mm",NA,"1",NA,NA,1
"SBK","DES","432160","Oxford Large Sleeved Eraser","Oxford","1.1CM","2.1CM","6.3CM","Erasers","1.1 x 2.1 x 6.3cm",NA,"1",NA,NA,1
"SBK","DES","432161","Oxford 1 Hole Barrel Sharpener","Oxford","5.0CM","4.0CM","4.0CM","Pencil Sharpeners","5 x 4 x 4 cm",NA,"1",NA,NA,1
"SBK","DES","432165","Oxford 180° Protractor","Oxford",".2CM","8.0CM","18.5CM","Protractor","0.2 x 8 x 18.5cm",NA,"1",NA,NA,1
"SBK","DES","229456","Paper Mate Comfortmate Retractable Ball Point PenBlack 4pk","Paper Mate","19.4CM","9.6CM","1.8CM","Ballpoint Pens","Medium","Black","4pk",NA,NA,1
"SBK","DES","317991","Paper Mate Everyday Smoothness Gel Pens Medium Assorted 4pk","Paper Mate","19.3CM","9.5CM","1.6CM","Gel Pens","Medium","Multi","4",NA,NA,1
"SBK","DES","318056","Paper Mate Flexgrip Ultra Ball Point Pens Medium2pk","Paper Mate","19.4CM","7.3CM","1.7CM","Ballpoint Pens","Medium","Black","2pk",NA,NA,1
"SBK","DES","432409","Paper Mate Inkjoy Assorted Colours 8pk","Paper Mate","19.4CM","2.6CM","12.0CM","Ballpoint Pens","H 14.8cm, W 1.3cm","Multi","8",NA,NA,1
